,CITY,STABBR,SAT_AVG,INSTNM,ADM_RATE,MTHCMP1,TUITIONFEE_IN
3848,Fond Du Lac,WI,1010.0,Marian University,0.6758,,27400.0
3849,Milwaukee,WI,1262.0,Marquette University,0.8933,,39900.0
3850,Milwaukee,WI,,Medical College of Wisconsin,,,
3851,Wisconsin Rapids,WI,,Mid-State Technical College,,,4371.0
3852,Milwaukee,WI,,Milwaukee Area Technical College,,,4491.0
3853,Milwaukee,WI,,Milwaukee Institute of Art & Design,0.5962,,36230.0
3854,Milwaukee,WI,1305.0,Milwaukee School of Engineering,0.6284,,39429.0
3855,Fond du Lac,WI,,Moraine Park Technical College,,,4461.0
3856,Milwaukee,WI,990.0,Mount Mary University,0.5599,,29510.0
3857,Nashotah,WI,,Nashotah House,,,
3858,Rhinelander,WI,,Nicolet Area Technical College,,,4877.0
3859,Wausau,WI,,Northcentral Technical College,,,3497.0
3860,Green Bay,WI,,Northeast Wisconsin Technical College,,,4415.0
3861,Ashland,WI,,Northland College,0.6117,,35157.0
3862,Ripon,WI,1145.0,Ripon College,0.6753,,41835.0
3863,Franklin,WI,,Sacred Heart Seminary and School of Theology,,,
3864,De Pere,WI,1199.0,Saint Norbert College,0.7922,,36593.0
3865,Manitowoc,WI,,Silver Lake College of the Holy Family,0.5154,,27360.0
3866,Wausau,WI,,State College of Beauty Culture Inc,,11.0,
3867,Fennimore,WI,,Southwest Wisconsin Technical College,,,4340.0
3868,Milwaukee,WI,,Bryant & Stratton College-Milwaukee,,,15902.0
3869,Madison,WI,1025.0,University of Wisconsin Colleges,0.7946,,5172.0
3870,La Crosse,WI,1162.0,Viterbo University,0.6145,,27150.0
3871,Eau Claire,WI,,Chippewa Valley Technical College,,,4304.0
3872,Pewaukee,WI,,Waukesha County Technical College,,,4340.0
3873,La Crosse,WI,,Western Technical College,,,3965.0
3874,Whitewater,WI,1105.0,University of Wisconsin-Whitewater,0.7035,,7662.0
3875,Shell Lake,WI,,Wisconsin Indianhead Technical College,,,4662.0
3876,Milwaukee,WI,,Wisconsin School of Professional Psychology,,,
3877,De Pere,WI,,Paul Mitchell the School-Green Bay,,12.0,
3878,Eau Claire,WI,1165.0,University of Wisconsin-Eau Claire,0.7567,,8816.0
3879,Green Bay,WI,1125.0,University of Wisconsin-Green Bay,0.7553,,7878.0
3880,La Crosse,WI,1185.0,University of Wisconsin-La Crosse,0.7337,,9096.0
3881,Milwaukee,WI,1145.0,Wisconsin Lutheran College,0.9025,,29140.0
3882,Oshkosh,WI,1105.0,University of Wisconsin-Oshkosh,0.6309,,7587.0
